event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
LSQ12gdj,56278.10,17.17,0.03,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56278.10,16.76,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56278.10,17.17,0.01,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56279.10,17.52,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56279.10,17.19,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56279.10,16.79,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56279.10,17.20,0.02,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56279.3982,19.782,0.269,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56279.40,18.18,0.12,F,B,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56279.4000,18.354,0.144,F,U,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56279.40,18.40,0.17,F,U,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56279.40,19.61,0.26,F,UVW1,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56279.40,17.11,0.10,F,V,UVOT,Swift,2015A&A...579A..40S
LSQ12gdj,56279.4007,18.084,0.095,F,B,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56279.4025,20.640,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56279.4052,17.001,0.088,F,V,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56279.4075,20.739,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
LSQ12gdj,56282.10,17.81,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56282.10,17.18,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56282.10,16.87,0.02,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56282.10,17.21,0.14,F,Z,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56283.10,18.36,0.02,F,B,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56283.10,17.89,0.01,F,G,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56283.10,17.22,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56283.10,17.23,0.01,F,I,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56283.10,16.92,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56283.10,16.93,0.01,F,R,EFOSC,NTT,2015A&A...579A..40S
LSQ12gdj,56283.10,17.24,0.01,F,V,EFOSC,NTT,2015A&A...579A..40S
